ID,symbols,logFC,P.Value
LOC_Os01g21120,LOC_Os01g21120,-1.40481,0.00144447
LOC_Os01g21970,LOC_Os01g21970,1.50677,0.0219986
LOC_Os01g22370,LOC_Os01g22370,-0.851396,0.0165457
LOC_Os01g22490,LOC_Os01g22490,-0.866601,0.00144447
LOC_Os01g22954,LOC_Os01g22954,-1.02524,0.0115122
LOC_Os01g24180,LOC_Os01g24180,-2.01539,0.0425371
LOC_Os01g24480,LOC_Os01g24480,1.05783,0.00144447
LOC_Os01g24690,LOC_Os01g24690,-0.633397,0.0224819
LOC_Os01g25610,LOC_Os01g25610,-0.785344,0.00355611
LOC_Os01g25990,LOC_Os01g25990,-1.23403,0.0025789
LOC_Os01g27360,LOC_Os01g27360,1.52881,0.00144447
LOC_Os01g27520,LOC_Os01g27520,-0.636987,0.0165457
LOC_Os01g27730,LOC_Os01g27730,-0.890514,0.00144447
LOC_Os01g28810,LOC_Os01g28810,3.02238,0.00144447
LOC_Os01g29804,LOC_Os01g29804,2.60061,0.00144447
LOC_Os01g32130,LOC_Os01g32130,-0.702254,0.0142094
LOC_Os01g32864,LOC_Os01g32864,3.25589,0.00781053
LOC_Os01g33030,LOC_Os01g33030,-1.04015,0.00144447
LOC_Os01g34560,LOC_Os01g34560,0.919223,0.0342066
LOC_Os01g35330,LOC_Os01g35330,7.20886,0.00144447
LOC_Os01g36400,LOC_Os01g36400,0.989424,0.0241404
LOC_Os01g36790,LOC_Os01g36790,1.52086,0.00701559
LOC_Os01g36890,LOC_Os01g36890,-0.656998,0.0204178
LOC_Os01g37280,LOC_Os01g37280,0.862714,0.00355611
LOC_Os01g37590,LOC_Os01g37590,1.84183,0.00144447
LOC_Os01g37770,LOC_Os01g37770,-0.761368,0.00619541
LOC_Os01g37837,LOC_Os01g37837,-0.906911,0.00144447
LOC_Os01g38180,LOC_Os01g38180,-2.27423,0.00535638
LOC_Os01g39000,LOC_Os01g39000,0.858167,0.00535638
LOC_Os01g39770,LOC_Os01g39770,0.879493,0.0025789
LOC_Os01g39860,LOC_Os01g39860,0.863511,0.0165457
LOC_Os01g40110,LOC_Os01g40110,-0.762448,0.00860411
LOC_Os01g40250,LOC_Os01g40250,-0.57888,0.0395646
LOC_Os01g40650,LOC_Os01g40650,-0.745182,0.0115122
